                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 2.4409,                 1.7367,                 1.7961,                 1.3136,                0.14282,                0.42593,                0.14843,                0.03425,                0.16203,                0.44444,                0.16824,                0.03664,                 3.1185,                 2.0237,                 3.6791,                  1.099,              0.0015399,              0.0015399,              0.0015399
                     79,                 2.4691,                 2.0362,                 1.7518,                 1.3017,                0.14282,                0.42593,                0.14843,                0.03425,                0.16203,                0.44444,                0.16824,                0.03664,                 3.1185,                 2.0237,                 3.6791,                  1.099,              0.0015383,              0.0015383,              0.0015383
                     80,                 2.4755,                 1.9505,                 1.7527,                 1.2795,                0.21718,                0.49417,                0.25364,                0.05964,                0.26111,                0.48148,                0.30723,                0.06634,                 2.9893,                 2.2484,                 2.1318,                 1.0918,              0.0015366,              0.0015366,              0.0015366
                     81,                 2.5792,                 1.7946,                  1.672,                 1.2213,                0.21718,                0.49417,                0.25364,                0.05964,                0.26111,                0.48148,                0.30723,                0.06634,                 2.9893,                 2.2484,                 2.1318,                 1.0918,               0.001535,               0.001535,               0.001535
                     82,                 2.4446,                 1.6646,                 1.5731,                 1.2825,                0.45366,                0.37037,                0.28916,                0.07168,                0.27929,                0.49072,                0.33087,                0.08105,                 3.0099,                 2.1551,                 2.1132,                  1.104,              0.0015333,              0.0015333,              0.0015333
                     83,                 2.6722,                 1.7773,                 1.7394,                 1.1871,                0.45366,                0.37037,                0.28916,                0.07168,                0.27929,                0.49072,                0.33087,                0.08105,                 3.0099,                 2.1551,                 2.1132,                  1.104,              0.0015317,              0.0015317,              0.0015317
                     84,                 2.5946,                  1.749,                 1.7387,                 1.2606,                0.23431,                    0.5,                0.25111,                0.06427,                0.22732,                0.57407,                 0.3102,                0.08347,                 2.9684,                 1.9926,                 2.6274,                  1.035,                0.00153,                0.00153,                0.00153
                     85,                 2.1218,                 1.9598,                 1.4912,                 1.2638,                0.23431,                    0.5,                0.25111,                0.06427,                0.22732,                0.57407,                 0.3102,                0.08347,                 2.9684,                 1.9926,                 2.6274,                  1.035,              0.0015284,              0.0015284,              0.0015284
                     86,                  2.329,                 1.8813,                 1.5934,                 1.2834,                0.26479,                0.44444,                0.28793,                0.06764,                0.20895,                0.43427,                0.26099,                 0.0634,                 3.0224,                 1.7615,                 2.6972,                 1.1158,              0.0015267,              0.0015267,              0.0015267
                     87,                 2.2614,                 1.4558,                 1.5042,                 1.2092,                0.26479,                0.44444,                0.28793,                0.06764,                0.20895,                0.43427,                0.26099,                 0.0634,                 3.0224,                 1.7615,                 2.6972,                 1.1158,              0.0015251,              0.0015251,              0.0015251
                     88,                 2.2432,                 1.7027,                 1.5251,                 1.2906,                0.37419,                0.38889,                0.36055,                0.11603,                0.31604,                0.44444,                  0.402,                0.12695,                 2.8308,                 1.6598,                  1.943,                0.91382,              0.0015234,              0.0015234,              0.0015234
                     89,                 2.1982,                 1.7011,                 1.6085,                  1.311,                0.37419,                0.38889,                0.36055,                0.11603,                0.31604,                0.44444,                  0.402,                0.12695,                 2.8308,                 1.6598,                  1.943,                0.91382,              0.0015218,              0.0015218,              0.0015218
                     90,                 2.4239,                 1.8736,                  1.827,                 1.1951,                 0.3353,                0.35185,                0.37148,                0.11138,                0.29578,                0.44444,                0.35975,                0.11271,                 2.9162,                 1.7103,                 1.7755,                 0.8711,              0.0015201,              0.0015201,              0.0015201
                     91,                 2.5653,                 1.9193,                 1.7701,                 1.2193,                 0.3353,                0.35185,                0.37148,                0.11138,                0.29578,                0.44444,                0.35975,                0.11271,                 2.9162,                 1.7103,                 1.7755,                 0.8711,              0.0015185,              0.0015185,              0.0015185
                     92,                 2.3136,                 1.8425,                 1.7171,                 1.2967,                0.31756,                0.35185,                0.33311,                0.09681,                0.26665,                0.41936,                0.32353,                 0.0867,                 2.8763,                 1.7687,                 1.7258,                0.87033,              0.0015168,              0.0015168,              0.0015168
                     93,                 2.3687,                  1.793,                 1.6921,                 1.1739,                0.31756,                0.35185,                0.33311,                0.09681,                0.26665,                0.41936,                0.32353,                 0.0867,                 2.8763,                 1.7687,                 1.7258,                0.87033,              0.0015152,              0.0015152,              0.0015152
